Origin,Destination
KG23: Taman Pertama,MR10: Chow Kit
KG23: Taman Pertama,KJ23: Taman Bahagia
KG23: Taman Pertama,KJ15: KL Sentral
KG23: Taman Pertama,KG31: Bukit Dukung
KG23: Taman Pertama,MR01: KL Sentral
KG23: Taman Pertama,AG06: Bandaraya
KG23: Taman Pertama,SP21: Alam Sutera
KG23: Taman Pertama,KG17: Merdeka
KG23: Taman Pertama,KJ17: Abdullah Hukum
KG23: Taman Pertama,KG12: Phileo Damansara
KG23: Taman Pertama,BRT04: SunMed
KG23: Taman Pertama,KJ35: Alam Megah
KG23: Taman Pertama,MR09: Medan Tuanku
KG23: Taman Pertama,SP22: Kinrara
KG23: Taman Pertama,KJ26: Ara Damansara
KG23: Taman Pertama,KJ11: Kampung Baru
KG23: Taman Pertama,SP12: Cheras
KG23: Taman Pertama,SP18: Sri Petaling
KG23: Taman Pertama,KG08: Mutiara Damansara
KG23: Taman Pertama,KG28: Sri Raya
KG23: Taman Pertama,KJ32: Taipan
KG23: Taman Pertama,AG13: Maluri
KG23: Taman Pertama,KJ18: Kerinchi
KG23: Taman Pertama,KJ14: Pasar Seni
KG23: Taman Pertama,BRT06: South Quay-USJ 1
KG23: Taman Pertama,MR08: Bukit Nanas
KG23: Taman Pertama,KJ19: Universiti
KG23: Taman Pertama,AG08: Plaza Rakyat
KG23: Taman Pertama,KJ03: Wangsa Maju
KG23: Taman Pertama,KJ05: Setiawangsa
KG23: Taman Pertama,KJ20: Taman Jaya
KG23: Taman Pertama,KG26: Taman Connaught
KG23: Taman Pertama,KG16: Pasar Seni
KG23: Taman Pertama,SP15: Bandar Tasik Selatan
KG23: Taman Pertama,MR04: Hang Tuah
KG23: Taman Pertama,KG15: Muzium Negara
KG23: Taman Pertama,KG09: Bandar Utama
KG23: Taman Pertama,SP31: Putra Heights
KG23: Taman Pertama,SP26: Taman Perindustrian Puchong
KG23: Taman Pertama,AG12: Miharja
KG23: Taman Pertama,KJ07: Dato' Keramat
KG23: Taman Pertama,KJ09: Ampang Park
KG23: Taman Pertama,KJ36: Subang Alam
KG23: Taman Pertama,BRT05: SunU-Monash
KG23: Taman Pertama,SP24: IOI Puchong Jaya
KG23: Taman Pertama,SP14: Bandar Tun Razak
KG23: Taman Pertama,AG15: Pandan Indah
KG23: Taman Pertama,SP20: Muhibbah
KG23: Taman Pertama,KG04: Kwasa Damansara
KG24: Taman Midah,AG08: Plaza Rakyat
KG24: Taman Midah,KG09: Bandar Utama
KG24: Taman Midah,KJ29: SS 15
KG24: Taman Midah,KG34: Stadium Kajang
KG24: Taman Midah,KJ05: Setiawangsa
KG24: Taman Midah,MR06: Bukit Bintang
KG24: Taman Midah,AG11: Chan Sow Lin
KG24: Taman Midah,KJ26: Ara Damansara
KG24: Taman Midah,KJ07: Dato' Keramat
KG24: Taman Midah,KG28: Sri Raya
KG24: Taman Midah,BRT04: SunMed
KG24: Taman Midah,KJ10: KLCC
KG24: Taman Midah,SP24: IOI Puchong Jaya
KG24: Taman Midah,KG10: TTDI
KG24: Taman Midah,BRT02: Mentari
KG24: Taman Midah,KG20: Tun Razak Exchange
KG24: Taman Midah,MR07: Raja Chulan
KG24: Taman Midah,KG15: Muzium Negara
KG24: Taman Midah,AG02: Sentul
KG24: Taman Midah,BRT05: SunU-Monash
KG24: Taman Midah,KJ14: Pasar Seni
KG24: Taman Midah,KG25: Taman Mutiara
KG24: Taman Midah,A0: All Stations
KG24: Taman Midah,KJ33: Wawasan
KG24: Taman Midah,KG24: Taman Midah
KG24: Taman Midah,SP17: Bukit Jalil
KG24: Taman Midah,KJ35: Alam Megah
KG24: Taman Midah,MR11: Titiwangsa
KG24: Taman Midah,SP13: Salak Selatan
KG24: Taman Midah,KG07: Surian
KG24: Taman Midah,KJ11: Kampung Baru
KG24: Taman Midah,SP27: Bandar Puteri
KG24: Taman Midah,AG09: Hang Tuah
KG24: Taman Midah,KG33: Sungai Jernih
KG24: Taman Midah,KG12: Phileo Damansara
KG24: Taman Midah,SP26: Taman Perindustrian Puchong
KG24: Taman Midah,KJ16: Bank Rakyat Bangsar
KG24: Taman Midah,KG13: Pusat Bandar Damansara
KG24: Taman Midah,AG18: Ampang
KG24: Taman Midah,BRT03: Sunway Lagoon
KG24: Taman Midah,AG07: Masjid Jamek
KG24: Taman Midah,KJ30: SS 18
KG24: Taman Midah,KJ04: Sri Rampai
KG24: Taman Midah,KG23: Taman Pertama
KG24: Taman Midah,MR01: KL Sentral
KG24: Taman Midah,KG27: Taman Suntex
KG24: Taman Midah,AG05: Sultan Ismail
KG24: Taman Midah,SP19: Awan Besar
KG24: Taman Midah,MR04: Hang Tuah
KG24: Taman Midah,SP29: Puchong Prima
KG24: Taman Midah,SP21: Alam Sutera
KG24: Taman Midah,KJ22: Taman Paramount
KG24: Taman Midah,KJ28: Subang Jaya
KG24: Taman Midah,PYL03: Kampung Selamat
KG24: Taman Midah,KJ17: Abdullah Hukum
KG24: Taman Midah,KG08: Mutiara Damansara
KG24: Taman Midah,KJ24: Kelana Jaya
KG24: Taman Midah,KJ36: Subang Alam
KG24: Taman Midah,KJ27: Cgc Glenmarie
KG24: Taman Midah,BRT01: Sunway-Setia Jaya
KG24: Taman Midah,SP20: Muhibbah
KG24: Taman Midah,KG18: Bukit Bintang
KG24: Taman Midah,KJ18: Kerinchi
KG24: Taman Midah,KJ08: Damai
KG24: Taman Midah,KG17: Merdeka
KG24: Taman Midah,AG17: Cahaya
KG24: Taman Midah,SP14: Bandar Tun Razak
KG24: Taman Midah,KJ12: Dang Wangi
KG24: Taman Midah,MR08: Bukit Nanas
KG24: Taman Midah,KG35: Kajang
KG24: Taman Midah,AG04: PWTC
KG24: Taman Midah,AG14: Pandan Jaya
KG24: Taman Midah,MR05: Imbi
KG24: Taman Midah,MR10: Chow Kit
KG24: Taman Midah,KJ02: Taman Melati
KG24: Taman Midah,KJ03: Wangsa Maju
KG24: Taman Midah,KJ25: Lembah Subang
KG24: Taman Midah,MR09: Medan Tuanku
KG24: Taman Midah,PYL04: Sungai Buloh
KG24: Taman Midah,KG22: Maluri
KG24: Taman Midah,AG10: Pudu
KG24: Taman Midah,KG16: Pasar Seni
KG24: Taman Midah,KJ15: KL Sentral
KG24: Taman Midah,KJ34: USJ 21
KG24: Taman Midah,KG04: Kwasa Damansara
KG24: Taman Midah,KJ21: Asia Jaya
KG24: Taman Midah,SP15: Bandar Tasik Selatan
KG24: Taman Midah,KG05: Kwasa Sentral
KG24: Taman Midah,MR03: Maharajalela
KG24: Taman Midah,AG15: Pandan Indah
KG24: Taman Midah,KG21: Cochrane
KG24: Taman Midah,SP31: Putra Heights
KG24: Taman Midah,KJ23: Taman Bahagia
KG24: Taman Midah,SP18: Sri Petaling
KG24: Taman Midah,AG16: Cempaka
KG24: Taman Midah,AG06: Bandaraya
KG24: Taman Midah,KJ32: Taipan
KG24: Taman Midah,SP12: Cheras
KG24: Taman Midah,AG12: Miharja
KG24: Taman Midah,KJ20: Taman Jaya
KG24: Taman Midah,KG06: Kota Damansara
KG24: Taman Midah,KG30: Batu 11 Cheras
KG24: Taman Midah,SP22: Kinrara
KG24: Taman Midah,SP25: Pusat Bandar Puchong
KG24: Taman Midah,KJ06: Jelatek
KG24: Taman Midah,KJ01: Gombak
KG24: Taman Midah,AG13: Maluri
KG24: Taman Midah,KG26: Taman Connaught
KG24: Taman Midah,MR02: Tun Sambanthan
KG24: Taman Midah,KJ19: Universiti
KG24: Taman Midah,AG03: Titiwangsa
KG24: Taman Midah,BRT06: South Quay-USJ 1
KG24: Taman Midah,SP28: Puchong Perdana
KG24: Taman Midah,AG01: Sentul Timur
KG24: Taman Midah,KG14: Semantan
KG24: Taman Midah,KG29: Bandar Tun Hussien Onn
KG24: Taman Midah,KJ09: Ampang Park
KG24: Taman Midah,KG31: Bukit Dukung
KG24: Taman Midah,SP16: Sungai Besi
KG24: Taman Midah,KJ31: USJ 7
KG25: Taman Mutiara,KG04: Kwasa Damansara
KG25: Taman Mutiara,AG15: Pandan Indah
KG25: Taman Mutiara,KG31: Bukit Dukung
KG25: Taman Mutiara,KG28: Sri Raya
KG25: Taman Mutiara,KJ30: SS 18
KG25: Taman Mutiara,KG27: Taman Suntex
KG25: Taman Mutiara,KG15: Muzium Negara
KG25: Taman Mutiara,KJ18: Kerinchi
KG25: Taman Mutiara,KJ26: Ara Damansara
KG25: Taman Mutiara,KJ35: Alam Megah
KG25: Taman Mutiara,KJ13: Masjid Jamek
KG25: Taman Mutiara,KG29: Bandar Tun Hussien Onn
KG25: Taman Mutiara,AG13: Maluri
KG25: Taman Mutiara,MR09: Medan Tuanku
KG25: Taman Mutiara,A0: All Stations
KG25: Taman Mutiara,KJ04: Sri Rampai
KG25: Taman Mutiara,KJ25: Lembah Subang
KG25: Taman Mutiara,KJ27: Cgc Glenmarie
KG25: Taman Mutiara,KJ06: Jelatek
KG25: Taman Mutiara,KG23: Taman Pertama
KG25: Taman Mutiara,MR10: Chow Kit
KG25: Taman Mutiara,KJ02: Taman Melati
KG25: Taman Mutiara,KJ21: Asia Jaya
KG25: Taman Mutiara,SP29: Puchong Prima
KG25: Taman Mutiara,AG14: Pandan Jaya
KG25: Taman Mutiara,AG17: Cahaya
KG25: Taman Mutiara,KJ14: Pasar Seni
KG25: Taman Mutiara,KG08: Mutiara Damansara
KG25: Taman Mutiara,KJ23: Taman Bahagia
KG25: Taman Mutiara,KJ31: USJ 7
KG25: Taman Mutiara,KJ36: Subang Alam
KG25: Taman Mutiara,SP18: Sri Petaling
KG25: Taman Mutiara,KG10: TTDI
KG25: Taman Mutiara,KJ15: KL Sentral
KG25: Taman Mutiara,SP28: Puchong Perdana
KG25: Taman Mutiara,MR02: Tun Sambanthan
KG25: Taman Mutiara,KJ11: Kampung Baru
KG25: Taman Mutiara,KJ09: Ampang Park
KG25: Taman Mutiara,BRT05: SunU-Monash
KG25: Taman Mutiara,KJ32: Taipan
KG25: Taman Mutiara,KJ08: Damai
KG25: Taman Mutiara,KG25: Taman Mutiara
KG25: Taman Mutiara,BRT02: Mentari
KG25: Taman Mutiara,SP12: Cheras
KG25: Taman Mutiara,KJ07: Dato' Keramat
KG25: Taman Mutiara,AG09: Hang Tuah
KG25: Taman Mutiara,KJ12: Dang Wangi
KG25: Taman Mutiara,MR08: Bukit Nanas
KG25: Taman Mutiara,KJ10: KLCC
KG25: Taman Mutiara,AG06: Bandaraya
KG25: Taman Mutiara,SP25: Pusat Bandar Puchong
KG25: Taman Mutiara,KG18: Bukit Bintang
KG25: Taman Mutiara,KJ01: Gombak
KG25: Taman Mutiara,KG30: Batu 11 Cheras
KG25: Taman Mutiara,KG22: Maluri
KG25: Taman Mutiara,SP15: Bandar Tasik Selatan
KG25: Taman Mutiara,SP17: Bukit Jalil
KG25: Taman Mutiara,PYL04: Sungai Buloh
KG25: Taman Mutiara,MR05: Imbi
KG25: Taman Mutiara,AG08: Plaza Rakyat
KG25: Taman Mutiara,KG24: Taman Midah
KG25: Taman Mutiara,SP26: Taman Perindustrian Puchong
KG25: Taman Mutiara,KJ20: Taman Jaya
KG25: Taman Mutiara,MR03: Maharajalela
KG25: Taman Mutiara,AG05: Sultan Ismail
KG25: Taman Mutiara,KG33: Sungai Jernih
KG25: Taman Mutiara,SP14: Bandar Tun Razak
KG25: Taman Mutiara,BRT03: Sunway Lagoon
KG25: Taman Mutiara,KJ16: Bank Rakyat Bangsar
KG25: Taman Mutiara,KG21: Cochrane
KG25: Taman Mutiara,KG34: Stadium Kajang
KG25: Taman Mutiara,MR01: KL Sentral
KG25: Taman Mutiara,KG14: Semantan
KG25: Taman Mutiara,KJ05: Setiawangsa
KG25: Taman Mutiara,SP21: Alam Sutera
KG25: Taman Mutiara,PYL03: Kampung Selamat
KG25: Taman Mutiara,KG06: Kota Damansara
KG25: Taman Mutiara,KJ28: Subang Jaya
KG25: Taman Mutiara,KJ03: Wangsa Maju
KG25: Taman Mutiara,AG10: Pudu
KG25: Taman Mutiara,AG02: Sentul
KG25: Taman Mutiara,KG09: Bandar Utama
KG25: Taman Mutiara,AG04: PWTC
KG25: Taman Mutiara,MR07: Raja Chulan
KG25: Taman Mutiara,KJ33: Wawasan
KG25: Taman Mutiara,BRT01: Sunway-Setia Jaya
KG25: Taman Mutiara,SP24: IOI Puchong Jaya
KG25: Taman Mutiara,AG11: Chan Sow Lin
KG25: Taman Mutiara,KJ17: Abdullah Hukum
KG25: Taman Mutiara,MR11: Titiwangsa
KG25: Taman Mutiara,MR06: Bukit Bintang
KG25: Taman Mutiara,KG16: Pasar Seni
KG25: Taman Mutiara,SP16: Sungai Besi
KG25: Taman Mutiara,AG12: Miharja
KG25: Taman Mutiara,KG07: Surian
KG25: Taman Mutiara,KG13: Pusat Bandar Damansara
KG25: Taman Mutiara,SP22: Kinrara
KG25: Taman Mutiara,KJ34: USJ 21
KG25: Taman Mutiara,AG07: Masjid Jamek
KG25: Taman Mutiara,KG12: Phileo Damansara
KG25: Taman Mutiara,KJ24: Kelana Jaya
KG25: Taman Mutiara,KJ22: Taman Paramount
KG25: Taman Mutiara,KG35: Kajang
KG25: Taman Mutiara,SP20: Muhibbah
KG25: Taman Mutiara,AG18: Ampang
KG25: Taman Mutiara,KG17: Merdeka
KG25: Taman Mutiara,KJ29: SS 15
KG25: Taman Mutiara,AG03: Titiwangsa
KG25: Taman Mutiara,MR04: Hang Tuah
KG25: Taman Mutiara,SP31: Putra Heights
KG25: Taman Mutiara,KG26: Taman Connaught
KG25: Taman Mutiara,BRT04: SunMed
KG25: Taman Mutiara,AG16: Cempaka
KG25: Taman Mutiara,SP27: Bandar Puteri
KG25: Taman Mutiara,AG01: Sentul Timur
KG25: Taman Mutiara,KG05: Kwasa Sentral
KG25: Taman Mutiara,KJ19: Universiti
KG25: Taman Mutiara,SP13: Salak Selatan
KG25: Taman Mutiara,SP19: Awan Besar
KG25: Taman Mutiara,KG20: Tun Razak Exchange
KG26: Taman Connaught,AG17: Cahaya
KG26: Taman Connaught,MR08: Bukit Nanas
KG26: Taman Connaught,KG35: Kajang
KG26: Taman Connaught,AG11: Chan Sow Lin
KG26: Taman Connaught,KG29: Bandar Tun Hussien Onn
KG26: Taman Connaught,KJ12: Dang Wangi
KG26: Taman Connaught,BRT01: Sunway-Setia Jaya
KG26: Taman Connaught,KJ07: Dato' Keramat
KG26: Taman Connaught,SP20: Muhibbah
KG26: Taman Connaught,KJ16: Bank Rakyat Bangsar
KG26: Taman Connaught,MR02: Tun Sambanthan
KG26: Taman Connaught,KJ01: Gombak
KG26: Taman Connaught,SP18: Sri Petaling
KG26: Taman Connaught,AG09: Hang Tuah
KG26: Taman Connaught,KJ34: USJ 21
KG26: Taman Connaught,KJ25: Lembah Subang
KG26: Taman Connaught,BRT03: Sunway Lagoon
KG26: Taman Connaught,KJ06: Jelatek
KG26: Taman Connaught,KG13: Pusat Bandar Damansara
KG26: Taman Connaught,KG26: Taman Connaught
KG26: Taman Connaught,MR09: Medan Tuanku
KG26: Taman Connaught,BRT05: SunU-Monash
KG26: Taman Connaught,MR07: Raja Chulan
KG26: Taman Connaught,KJ09: Ampang Park
KG26: Taman Connaught,SP17: Bukit Jalil
KG26: Taman Connaught,KG12: Phileo Damansara
KG26: Taman Connaught,KG07: Surian
KG26: Taman Connaught,KG22: Maluri
KG26: Taman Connaught,PYL04: Sungai Buloh
KG26: Taman Connaught,KJ11: Kampung Baru
KG26: Taman Connaught,KG18: Bukit Bintang
KG26: Taman Connaught,KG30: Batu 11 Cheras
KG26: Taman Connaught,KJ23: Taman Bahagia
KG26: Taman Connaught,KJ28: Subang Jaya
KG26: Taman Connaught,KG10: TTDI
KG26: Taman Connaught,AG14: Pandan Jaya
KG26: Taman Connaught,KG15: Muzium Negara
KG26: Taman Connaught,AG05: Sultan Ismail
KG26: Taman Connaught,SP19: Awan Besar
KG26: Taman Connaught,AG13: Maluri
KG26: Taman Connaught,KG27: Taman Suntex
KG26: Taman Connaught,SP25: Pusat Bandar Puchong
KG26: Taman Connaught,SP27: Bandar Puteri
KG26: Taman Connaught,PYL03: Kampung Selamat
KG26: Taman Connaught,BRT04: SunMed
KG26: Taman Connaught,KJ27: Cgc Glenmarie
KG26: Taman Connaught,MR06: Bukit Bintang
KG26: Taman Connaught,AG18: Ampang
KG26: Taman Connaught,BRT02: Mentari
KG26: Taman Connaught,SP28: Puchong Perdana
KG26: Taman Connaught,KG09: Bandar Utama
KG26: Taman Connaught,KJ05: Setiawangsa
KG26: Taman Connaught,SP15: Bandar Tasik Selatan
KG26: Taman Connaught,SP13: Salak Selatan
KG26: Taman Connaught,AG08: Plaza Rakyat
KG26: Taman Connaught,KG25: Taman Mutiara
KG26: Taman Connaught,AG07: Masjid Jamek
KG26: Taman Connaught,KJ18: Kerinchi
KG26: Taman Connaught,KJ26: Ara Damansara
KG26: Taman Connaught,MR03: Maharajalela
KG26: Taman Connaught,KJ15: KL Sentral
KG26: Taman Connaught,KG28: Sri Raya
KG26: Taman Connaught,AG15: Pandan Indah
KG26: Taman Connaught,KJ33: Wawasan
KG26: Taman Connaught,KG31: Bukit Dukung
KG26: Taman Connaught,AG01: Sentul Timur
KG26: Taman Connaught,A0: All Stations
KG26: Taman Connaught,SP14: Bandar Tun Razak
KG26: Taman Connaught,KJ10: KLCC
KG26: Taman Connaught,KJ03: Wangsa Maju
KG26: Taman Connaught,KJ30: SS 18
KG26: Taman Connaught,AG06: Bandaraya
KG26: Taman Connaught,AG16: Cempaka
KG26: Taman Connaught,KG05: Kwasa Sentral
KG26: Taman Connaught,KJ35: Alam Megah
KG26: Taman Connaught,KJ24: Kelana Jaya
KG26: Taman Connaught,SP26: Taman Perindustrian Puchong
KG26: Taman Connaught,KG23: Taman Pertama
KG26: Taman Connaught,KJ04: Sri Rampai
KG26: Taman Connaught,KG24: Taman Midah
KG26: Taman Connaught,KG33: Sungai Jernih
KG26: Taman Connaught,KG04: Kwasa Damansara
KG26: Taman Connaught,SP24: IOI Puchong Jaya
KG26: Taman Connaught,KJ13: Masjid Jamek
KG26: Taman Connaught,SP22: Kinrara
KG26: Taman Connaught,KG16: Pasar Seni
KG26: Taman Connaught,SP21: Alam Sutera
KG26: Taman Connaught,KG14: Semantan
KG26: Taman Connaught,KG20: Tun Razak Exchange
KG26: Taman Connaught,KJ08: Damai
KG26: Taman Connaught,SP12: Cheras
KG26: Taman Connaught,KG08: Mutiara Damansara
KG26: Taman Connaught,MR01: KL Sentral
KG26: Taman Connaught,KG06: Kota Damansara
KG26: Taman Connaught,MR10: Chow Kit
KG26: Taman Connaught,SP31: Putra Heights
KG26: Taman Connaught,KJ17: Abdullah Hukum
KG26: Taman Connaught,KJ21: Asia Jaya
KG26: Taman Connaught,BRT06: South Quay-USJ 1
KG26: Taman Connaught,SP16: Sungai Besi
KG26: Taman Connaught,MR04: Hang Tuah
KG26: Taman Connaught,AG04: PWTC
KG26: Taman Connaught,KG17: Merdeka
KG26: Taman Connaught,KJ19: Universiti
KG26: Taman Connaught,AG03: Titiwangsa
KG26: Taman Connaught,AG10: Pudu
KG26: Taman Connaught,KG21: Cochrane
KG26: Taman Connaught,KJ20: Taman Jaya
KG26: Taman Connaught,MR11: Titiwangsa
KG26: Taman Connaught,KJ32: Taipan
KG26: Taman Connaught,KJ31: USJ 7
KG26: Taman Connaught,KJ36: Subang Alam
KG26: Taman Connaught,AG12: Miharja
KG26: Taman Connaught,KJ22: Taman Paramount
KG26: Taman Connaught,KJ14: Pasar Seni
KG26: Taman Connaught,KJ29: SS 15
KG26: Taman Connaught,KJ02: Taman Melati
KG26: Taman Connaught,MR05: Imbi
KG26: Taman Connaught,AG02: Sentul
KG26: Taman Connaught,KG34: Stadium Kajang
KG27: Taman Suntex,SP17: Bukit Jalil
KG27: Taman Suntex,KG08: Mutiara Damansara
KG27: Taman Suntex,MR05: Imbi
KG27: Taman Suntex,KG09: Bandar Utama
KG27: Taman Suntex,AG12: Miharja
KG27: Taman Suntex,KG23: Taman Pertama
KG27: Taman Suntex,BRT01: Sunway-Setia Jaya
KG27: Taman Suntex,SP18: Sri Petaling
KG27: Taman Suntex,SP12: Cheras
KG27: Taman Suntex,KJ15: KL Sentral
KG27: Taman Suntex,KG27: Taman Suntex
KG27: Taman Suntex,AG04: PWTC
KG27: Taman Suntex,KJ19: Universiti
KG27: Taman Suntex,KG10: TTDI
KG27: Taman Suntex,SP19: Awan Besar
KG27: Taman Suntex,KJ07: Dato' Keramat
KG27: Taman Suntex,KG35: Kajang
KG27: Taman Suntex,KG25: Taman Mutiara
KG27: Taman Suntex,KJ13: Masjid Jamek
KG27: Taman Suntex,KG15: Muzium Negara
KG27: Taman Suntex,KJ16: Bank Rakyat Bangsar
KG27: Taman Suntex,AG17: Cahaya
KG27: Taman Suntex,KG13: Pusat Bandar Damansara
KG27: Taman Suntex,SP25: Pusat Bandar Puchong
KG27: Taman Suntex,AG15: Pandan Indah
KG27: Taman Suntex,SP16: Sungai Besi
KG27: Taman Suntex,SP28: Puchong Perdana
KG27: Taman Suntex,KJ17: Abdullah Hukum
KG27: Taman Suntex,AG16: Cempaka
KG27: Taman Suntex,SP26: Taman Perindustrian Puchong
KG27: Taman Suntex,MR08: Bukit Nanas
KG27: Taman Suntex,KG33: Sungai Jernih
KG27: Taman Suntex,KJ24: Kelana Jaya
KG27: Taman Suntex,KG12: Phileo Damansara
KG27: Taman Suntex,BRT06: South Quay-USJ 1
KG27: Taman Suntex,KG29: Bandar Tun Hussien Onn
KG27: Taman Suntex,KG21: Cochrane
KG27: Taman Suntex,KJ21: Asia Jaya
KG27: Taman Suntex,AG01: Sentul Timur
KG27: Taman Suntex,SP27: Bandar Puteri
KG27: Taman Suntex,KG05: Kwasa Sentral
KG27: Taman Suntex,KG24: Taman Midah
KG27: Taman Suntex,SP15: Bandar Tasik Selatan
KG27: Taman Suntex,SP22: Kinrara
KG27: Taman Suntex,AG06: Bandaraya
KG27: Taman Suntex,AG02: Sentul
KG27: Taman Suntex,KJ10: KLCC
KG27: Taman Suntex,KJ20: Taman Jaya
KG27: Taman Suntex,AG14: Pandan Jaya
KG27: Taman Suntex,KG16: Pasar Seni
KG27: Taman Suntex,MR02: Tun Sambanthan
KG27: Taman Suntex,KJ29: SS 15
KG27: Taman Suntex,MR01: KL Sentral
KG27: Taman Suntex,KG26: Taman Connaught
KG27: Taman Suntex,AG11: Chan Sow Lin
KG27: Taman Suntex,KJ14: Pasar Seni
KG27: Taman Suntex,AG08: Plaza Rakyat
KG27: Taman Suntex,AG03: Titiwangsa
KG27: Taman Suntex,MR09: Medan Tuanku
KG27: Taman Suntex,AG09: Hang Tuah
KG27: Taman Suntex,KJ36: Subang Alam
KG27: Taman Suntex,KG14: Semantan
KG27: Taman Suntex,SP29: Puchong Prima
KG27: Taman Suntex,KJ32: Taipan
KG27: Taman Suntex,KJ25: Lembah Subang
KG27: Taman Suntex,SP14: Bandar Tun Razak
KG27: Taman Suntex,SP31: Putra Heights
KG27: Taman Suntex,SP24: IOI Puchong Jaya
KG27: Taman Suntex,KG20: Tun Razak Exchange
KG27: Taman Suntex,AG05: Sultan Ismail
KG27: Taman Suntex,KJ27: Cgc Glenmarie
KG27: Taman Suntex,KJ28: Subang Jaya
KG27: Taman Suntex,KJ03: Wangsa Maju
KG27: Taman Suntex,KJ05: Setiawangsa
KG27: Taman Suntex,PYL03: Kampung Selamat
KG27: Taman Suntex,SP13: Salak Selatan
KG27: Taman Suntex,A0: All Stations
KG27: Taman Suntex,BRT02: Mentari
KG27: Taman Suntex,MR11: Titiwangsa
KG27: Taman Suntex,AG07: Masjid Jamek
KG27: Taman Suntex,KJ30: SS 18
KG27: Taman Suntex,PYL04: Sungai Buloh
KG27: Taman Suntex,KJ26: Ara Damansara
KG27: Taman Suntex,KG22: Maluri
KG27: Taman Suntex,KJ35: Alam Megah
KG27: Taman Suntex,KG31: Bukit Dukung
KG27: Taman Suntex,BRT03: Sunway Lagoon
KG27: Taman Suntex,KJ33: Wawasan
KG27: Taman Suntex,KG04: Kwasa Damansara
KG27: Taman Suntex,MR07: Raja Chulan
KG27: Taman Suntex,KJ12: Dang Wangi
KG27: Taman Suntex,SP21: Alam Sutera
KG27: Taman Suntex,AG10: Pudu
KG27: Taman Suntex,SP20: Muhibbah
KG27: Taman Suntex,KJ18: Kerinchi
KG27: Taman Suntex,KG07: Surian
KG27: Taman Suntex,KJ01: Gombak
KG27: Taman Suntex,KG28: Sri Raya
KG27: Taman Suntex,KJ02: Taman Melati
KG27: Taman Suntex,MR06: Bukit Bintang
KG27: Taman Suntex,KJ09: Ampang Park
KG27: Taman Suntex,KG34: Stadium Kajang
KG27: Taman Suntex,KJ31: USJ 7
KG27: Taman Suntex,KJ22: Taman Paramount
KG27: Taman Suntex,MR10: Chow Kit
KG27: Taman Suntex,MR04: Hang Tuah
KG27: Taman Suntex,KG30: Batu 11 Cheras
KG27: Taman Suntex,KJ34: USJ 21
KG27: Taman Suntex,KG06: Kota Damansara
KG27: Taman Suntex,MR03: Maharajalela
KG27: Taman Suntex,KJ06: Jelatek
KG27: Taman Suntex,KJ08: Damai
KG27: Taman Suntex,KJ11: Kampung Baru
KG27: Taman Suntex,KJ04: Sri Rampai
KG27: Taman Suntex,KG17: Merdeka
KG27: Taman Suntex,KG18: Bukit Bintang
KG27: Taman Suntex,BRT04: SunMed
KG27: Taman Suntex,AG18: Ampang
KG27: Taman Suntex,BRT05: SunU-Monash
KG27: Taman Suntex,AG13: Maluri
KG28: Sri Raya,SP16: Sungai Besi
KG28: Sri Raya,KJ30: SS 18
KG28: Sri Raya,MR08: Bukit Nanas
KG28: Sri Raya,AG07: Masjid Jamek
KG28: Sri Raya,KG33: Sungai Jernih
KG28: Sri Raya,AG13: Maluri
KG28: Sri Raya,SP13: Salak Selatan
KG28: Sri Raya,KJ12: Dang Wangi
KG28: Sri Raya,KJ20: Taman Jaya
KG28: Sri Raya,KG26: Taman Connaught
KG28: Sri Raya,BRT04: SunMed
KG28: Sri Raya,KG30: Batu 11 Cheras
KG28: Sri Raya,KJ14: Pasar Seni
KG28: Sri Raya,SP29: Puchong Prima
KG28: Sri Raya,A0: All Stations
KG28: Sri Raya,KG06: Kota Damansara
KG28: Sri Raya,KG05: Kwasa Sentral
KG28: Sri Raya,KG18: Bukit Bintang
KG28: Sri Raya,SP24: IOI Puchong Jaya
KG28: Sri Raya,KJ07: Dato' Keramat
KG28: Sri Raya,KJ06: Jelatek
KG28: Sri Raya,KG34: Stadium Kajang
KG28: Sri Raya,KG08: Mutiara Damansara
KG28: Sri Raya,KG17: Merdeka
KG28: Sri Raya,KJ01: Gombak
KG28: Sri Raya,KJ29: SS 15
KG28: Sri Raya,KJ34: USJ 21
KG28: Sri Raya,KG15: Muzium Negara
KG28: Sri Raya,BRT03: Sunway Lagoon
KG28: Sri Raya,MR03: Maharajalela
KG28: Sri Raya,KJ04: Sri Rampai
KG28: Sri Raya,SP27: Bandar Puteri
KG28: Sri Raya,KG13: Pusat Bandar Damansara
KG28: Sri Raya,AG17: Cahaya
KG28: Sri Raya,KG31: Bukit Dukung
KG28: Sri Raya,SP26: Taman Perindustrian Puchong
KG28: Sri Raya,AG10: Pudu
KG28: Sri Raya,KJ17: Abdullah Hukum
KG28: Sri Raya,KJ16: Bank Rakyat Bangsar
KG28: Sri Raya,MR07: Raja Chulan
KG28: Sri Raya,KG35: Kajang
KG28: Sri Raya,AG05: Sultan Ismail
KG28: Sri Raya,KG20: Tun Razak Exchange
KG28: Sri Raya,KJ35: Alam Megah
KG28: Sri Raya,AG01: Sentul Timur
KG28: Sri Raya,KG29: Bandar Tun Hussien Onn
KG28: Sri Raya,KJ10: KLCC
KG28: Sri Raya,AG16: Cempaka
